Year,Current account (excludes reserves and related items),"Goods, credit (exports)","Goods, debit (imports)",Balance on goods,"Services, credit (exports)","Services, debit (imports)",Balance on goods and services,"Primary income, credit","Primary income, debit","Balance on goods, services, and primary income","Secondary income, credit","Secondary income, debit",Capital account (excludes reserves and related items),"Capital account, credit","Capital account, debit",Balance on current and capital account,Financial account (excludes reserves and related items),"Direct investment, assets",Equity and investment fund shares,Debt instruments,"Direct investment, liabilities",Equity and investment fund shares,Debt instruments,"Portfolio investment, assets",Equity and investment fund shares,Debt instruments,"Portfolio investment, liabilities",Equity and investment fund shares,Debt instruments,Financial derivatives (other than reserves) and employee stock options,"Fin. derivatives and employee stock options, assets","Fin. derivatives and employee stock options, liabilities","Other investment, assets",Other equity,Debt instruments,"Other investment, liabilities",Other equity,Debt instruments,"Balance on current, capital, and financial account",Net errors and omissions,Reserves and related items,Reserve assets,Net credit and loans from the IMF (excluding reserve position),Exceptional financing
2005,"6,232.90","114,048.40","113,094.20",954.2,"44,931.00","35,791.20","10,094.00","25,903.80","27,945.40","8,052.40","3,947.10","5,766.60",-83.4,445,528.4,"6,149.50",911.3,"81,289.40","80,597.20",692.2,"81,096.10","83,253.30","-2,157.20","43,963.10","5,685.70","38,277.40","30,476.90","5,996.50","24,480.40",-155.3,0,0,"30,053.40",0,"30,053.40","42,666.30",0,"42,666.30","5,238.20","-5,989.00",-750.7,-750.7,0,0
2006,"K 10,992.5","K 129,502.2","K 126,270.2","K 3,233.3","K 45,591.8","K 35,229.0","K 13,594.8","K 35,215.4","K 34,372.5","K 14,437.6","K 2,248.5","K 5,693.5","K -1,139.2",K 75.4,"K 1,215.9","K 9,853.3","K 15,509.9","K 16,087.8","K 12,302.1","K 3,785.7","K 10,500.5",K 349.1,"K 10,151.3","K 33,500.0","K 8,712.1","K 24,790.3","K 47,964.6","K 10,362.3","K 37,602.3","K 1,228.4",0,0,"K 73,278.5",K 0.0,"K 73,278.5","K 50,121.0",K 0.0,"K 50,121.0","K -5,656.6","K 4,782.7",K -873.9,K -873.9,K 0.0,0
2007,"14,749.20","156,813.00","151,479.60","5,333.50","54,463.50","41,038.30","18,758.60","46,833.10","47,148.50","18,443.20","2,454.90","6,149.00",41.8,593.4,553,"14,791.00","14,321.40","79,039.90","73,491.70","5,548.20","68,865.80","44,448.70","24,417.10","16,467.10",978.6,"15,488.60","46,623.50","3,940.90","42,682.60",916.9,0,0,"50,145.20",1.3,"50,143.90","16,755.70",0,"16,755.70",469.6,"2,053.50","2,525.60","2,525.60",0,0
2008,"19,297.60","172,808.50","170,245.80","2,562.70","63,075.40","45,276.50","20,361.60","47,584.80","44,175.50","23,770.80","2,903.00","7,376.20",-244.1,235.2,480.9,"19,053.40","15,843.00","27,903.00","23,819.80","4,080.40","6,301.10","6,052.60",248.8,"-11,270.00","-7,459.00","-3,812.60","24,524.40","-6,653.40","31,177.80",-828.3,0,0,"53,161.30",0,"53,161.30","22,294.40",0,"22,294.40","3,210.40","-4,049.30",-837.5,-837.5,0,0
2009,"10,305.20","131,816.70","132,493.60",-676.9,"53,969.50","39,073.10","14,219.50","37,201.70","37,296.60","14,124.60","2,970.90","6,790.40",-152.1,577,729.1,"10,153.10","13,756.60","15,558.20","12,740.60","2,819.20","14,300.10","6,107.10","8,192.90","4,983.50","6,332.20","-1,348.70","-6,037.40",148,"-6,183.90",-788.7,0,0,"-31,115.50",-6.5,"-31,108.90","-33,385.90",0,"-33,385.90","-3,603.50","2,552.50","-1,053.80","-1,053.80",0,0
2010,"11,473.80","145,031.00","146,871.80","-1,840.80","52,723.70","38,748.80","12,134.10","39,884.60","36,554.90","15,463.80","2,913.40","6,903.40",267.8,877.7,608.6,"11,741.60","3,307.90","-14,327.60","-16,477.10","2,148.10","-22,007.30","-24,543.10","2,535.80","8,632.90","9,661.10","-1,028.30","-1,296.00",-538.7,-757.3,201.1,0,0,"-20,931.40",43.5,"-20,974.90","-6,424.50",0,"-6,424.50","8,433.60","-6,988.60","1,445.00","1,445.00",0,0
2011,"6,800.40","170,267.50","175,314.30","-5,046.90","59,206.70","44,523.50","9,636.40","49,273.60","47,936.70","10,973.30","3,372.60","7,545.50",-458.2,187.5,647,"6,342.20","5,099.00","38,145.30","30,227.40","7,920.60","22,983.90","24,874.90","-1,893.70","-11,416.20","-1,788.90","-9,627.30","10,877.70",-225.6,"11,103.30","-1,037.50",0,0,"33,408.20",55.6,"33,352.60","20,140.40",0,"20,140.40","1,243.20",-248.2,992.1,992.1,0,0
2012,"6,140.70","160,181.60","164,244.30","-4,061.50","57,913.00","44,107.80","9,742.50","43,077.80","42,563.70","10,256.60","3,272.60","7,388.50",-577.9,95.4,672,"5,562.80","5,405.80","18,444.30","15,821.40","2,621.70","5,218.60","8,911.60","-3,693.00","-14,510.60","4,400.00","-18,909.30","-7,054.10",729.8,"-7,782.60","-1,369.70",0,0,"-1,600.90","1,226.50","-2,827.40","-2,609.70",0,"-2,609.70",157.1,"1,085.10","1,243.50","1,243.50",0,0
2013,"7,477.90","164,170.70","166,029.90","-1,857.90","65,330.70","51,910.20","11,561.20","27,816.00","26,656.00","12,721.20","3,449.90","8,693.30",-381.9,275.7,656.2,"7,096.00","12,481.60","11,031.00","1,134.10","9,896.90","-1,291.00","-6,105.00","4,813.90","3,139.30","4,339.90","-1,200.60","5,813.40","1,895.30","3,916.70","-5,059.80",0,0,"-5,235.40","1,587.00","-6,822.40","-13,127.60",0,"-13,127.60","-5,385.50","5,912.40",525.5,525.5,0,0
2014,"10,150.60","167,431.70","166,417.40","1,013.00","68,628.80","55,449.30","14,193.90","30,110.70","29,896.40","14,408.20","3,538.70","7,796.30",-350.2,239.1,590.5,"9,800.40","1,768.60",-875.4,"-8,291.50","7,416.10","1,708.40",954.9,753.5,"10,003.40","5,025.40","4,979.30","-6,578.30","1,283.00","-7,863.80","-1,618.30",0,0,"-24,750.60",659.4,"-25,410.00","-14,139.80",0,"-14,139.80","8,031.80","-5,137.80","2,891.30","2,891.30",0,0
2015,"6,030.70","143,205.00","140,773.10","2,430.80","59,076.50","47,950.40","13,558.00","17,408.80","21,291.60","9,675.10","5,441.90","9,086.40",-120.5,752.6,873.1,"5,910.20","5,686.20",-675.7,"-3,475.30","2,799.50","-6,847.40","-4,010.70","-2,837.80","1,071.20","5,820.30","-4,748.00","-15,247.70","1,504.00","-16,752.80",-652.9,0,0,"-18,692.70",-46.1,"-18,646.60","-2,540.20",0,"-2,540.20",224,-582.8,-363.2,-363.2,0,0
2016,"10,119.20","145,462.10","142,620.30","2,841.70","61,432.70","50,004.30","14,270.10","31,014.20","31,210.70","14,073.50","5,612.50","9,566.90",-347,"1,094.70","1,443.90","9,772.20","10,732.90","-27,725.50","-30,002.00","2,276.40","-28,502.60","-34,440.30","5,938.80","6,303.20","9,461.50","-3,158.30","-20,602.00","1,310.00","-21,909.70",-445.4,0,0,"-18,684.80",-13.2,"-18,671.50","-2,182.00",0,"-2,182.00",-960.6,"1,492.80",534.4,534.4,0,0
2017,"5,165.80","158,130.50","156,950.20","1,179.20","67,124.30","56,147.90","12,156.70","27,449.50","31,281.10","8,325.10","6,280.70","9,440.00",-211,333.5,543.5,"4,954.80","12,009.30","8,012.20","7,633.40",380,"14,032.00","11,517.20","2,513.70","11,434.00","12,984.80","-1,549.60","-9,900.70","5,271.70","-15,170.30",-700.5,0,0,"4,856.80",-21.6,"4,878.40","7,465.20",0,"7,465.20","-7,054.50","3,560.30","-3,497.70","-3,497.70",0,0
2018,"4,107.90","176,057.10","174,346.20","1,712.10","75,908.10","64,257.90","13,361.20","30,009.00","34,659.30","8,710.90","6,386.90","10,989.90","-2,534.50",577.9,"3,110.00","1,573.40","2,954.70","-27,564.10","-34,220.90","6,656.80","-27,839.20","-28,461.60",621.2,-218.9,"3,427.70","-3,645.50","-4,376.30","-3,630.20",-745,-898.4,0,0,"8,640.30",-25.4,"8,665.70","9,217.40",0,"9,217.40","-1,381.30","4,000.90","2,620.80","2,620.80",0,0
2019,"10,561.80","170,783.90","165,849.40","4,934.50","76,657.70","66,089.80","15,502.30","32,852.00","33,861.70","14,492.70","6,602.00","10,532.90",49.2,"1,871.90","1,822.70","10,610.90","12,822.60","-8,291.50","-13,813.50","5,522.00","-12,636.40","-23,052.80","10,416.40","12,975.50","9,277.10","3,697.30","16,331.00","3,033.60","13,298.60","1,508.40",0,0,"13,915.90",65.3,"13,850.60","3,590.00",-1.1,"3,591.10","-2,211.70","2,006.80",-206.1,-206.1,0,0
2020,"14,560.60","159,252.60","154,132.90","5,119.80","64,992.40","56,033.80","14,078.40","30,742.70","25,965.50","18,855.70","7,418.30","11,713.30",-346.3,478.2,823.4,"14,214.40","7,292.70","2,114.30",-518.3,"2,632.70","-12,003.80","-5,596.60","-6,406.00","22,025.50","9,097.40","12,930.30","35,614.10","4,801.00","30,811.90","1,311.60",0,0,"-9,174.30",108.4,"-9,282.70","-14,626.90",0,"-14,626.90","6,921.70","-5,179.30","1,740.00","1,740.00",0,0
