Year,Current account (excludes reserves and related items),"Goods, credit (exports)","Goods, debit (imports)",Balance on goods,"Services, credit (exports)","Services, debit (imports)",Balance on goods and services,"Primary income, credit","Primary income, debit","Balance on goods, services, and primary income","Secondary income, credit","Secondary income, debit",Capital account (excludes reserves and related items),"Capital account, credit","Capital account, debit",Balance on current and capital account,Financial account (excludes reserves and related items),"Direct investment, assets",Equity and investment fund shares,Debt instruments,"Direct investment, liabilities",Equity and investment fund shares,Debt instruments,"Portfolio investment, assets",Equity and investment fund shares,Debt instruments,"Portfolio investment, liabilities",Equity and investment fund shares,Debt instruments,Financial derivatives (other than reserves) and employee stock options,"Fin. derivatives and employee stock options, assets","Fin. derivatives and employee stock options, liabilities","Other investment, assets",Other equity,Debt instruments,"Other investment, liabilities",Other equity,Debt instruments,"Balance on current, capital, and financial account",Net errors and omissions,Reserves and related items,Reserve assets,Net credit and loans from the IMF (excluding reserve position),Exceptional financing
2005,"7,701.00","227,937.10","224,065.40","3,871.70","57,246.00","52,477.20","8,640.50","59,002.20","53,576.90","14,065.90","9,351.60","15,716.40",-921.1,44.3,965.4,"6,779.90","11,396.80","32,538.40","25,651.60","6,886.70","33,662.00","35,401.80","-1,739.80","43,411.50","20,437.50","22,974.00","-1,213.10","5,707.40","-6,920.40","5,443.50","9,641.40","4,197.90","87,278.40",...,"87,278.40","124,826.00",...,"124,826.00","-4,616.90","2,441.90","-2,175.00","-2,175.00",0,...
2006,"7,554.00","246,975.50","244,113.00","2,862.50","60,567.00","54,292.30","9,137.30","74,312.30","69,350.60","14,099.10","8,813.60","15,358.70",-492,761.7,"1,253.70","7,062.00","7,524.40","50,131.00","25,361.30","24,769.70","58,821.60","65,032.40","-6,210.80","26,563.80","19,990.90","6,572.90","17,341.50","4,590.30","12,751.20","-3,372.60","1,499.20","4,871.80","91,848.40",...,"91,848.40","81,483.10",...,"81,483.10",-462.4,617.4,155,155,0,...
2007,"7,043.50","287,722.10","285,361.30","2,360.80","73,986.90","69,958.30","6,389.40","100,068.30","93,057.40","13,400.40","9,883.20","16,240.00","-1,881.50",284,"2,165.60","5,162.00","6,258.50","83,458.00","54,285.30","29,172.80","96,551.60","79,854.30","16,697.30","80,481.60","20,398.70","60,082.90","37,479.80","3,358.40","34,121.50","-1,423.30",...,...,"158,340.10",...,"158,340.10","180,566.50",...,"180,566.50","-1,096.50","2,321.80","1,225.30","1,225.30",0,...
2008,"K -4,297.0","K 315,455.4","K 329,799.3","K -14,341.1","K 97,004.9","K 89,311.4","K -6,650.4","K 109,059.0","K 98,356.5","K 4,052.1","K 8,149.9","K 16,499.0","K -2,738.2",K 610.5,"K 3,350.3","K -7,035.2","K -8,339.5","K 223,255.9","K 25,612.5","K 197,644.7","K 190,391.8","K 134,673.8","K 55,717.8",K 335.9,"K -31,846.0","K 32,182.0","K 48,076.8","K 8,794.5","K 39,282.3","K -5,902.4",...,...,"K -75,158.3",K 0.0,"K -75,158.3","K -87,601.1",K 0.0,"K -87,601.1","K 1,304.3","K -2,619.2","K -1,319.7","K -1,319.7",K 0.0,...
2009,"8,774.60","241,722.30","246,202.60","-4,480.30","92,431.40","82,483.70","5,467.50","93,679.20","84,127.70","15,019.00","11,770.60","18,014.90",-654.3,752.2,"1,407.90","8,120.30","-2,224.50","33,339.50","30,928.80","2,410.60","77,354.50","60,787.20","16,568.80","-18,658.90","-3,161.80","-15,498.50","21,634.70","-3,245.70","24,878.80",-738.2,...,...,"-117,337.70",-1.3,"-117,336.40","-200,158.90",0,"-200,158.90","10,344.70","-3,376.30","6,969.90","6,969.90",0,...
2010,"7,339.30","271,416.50","276,154.10","-4,736.10","97,878.10","87,991.00","5,149.60","91,977.80","84,912.30","12,215.10","12,791.60","17,667.40",-247.1,662.3,908.1,"7,092.20",484.8,"66,826.90","20,408.10","46,417.40","125,491.90","100,522.70","24,969.20","2,321.10","6,651.10","-4,328.60","-25,035.80","-3,865.10","-21,170.70","-1,874.90",...,...,"-13,684.40",54.3,"-13,738.80","-47,350.80",0,"-47,350.80","6,607.30","-5,787.00",820.4,820.4,0,...
2011,"-10,167.50","323,936.70","337,409.60","-13,472.90","104,921.20","96,856.00","-5,407.70","79,952.20","79,126.60","-4,582.10","13,530.70","19,116.10",-423.6,"1,394.40","1,817.90","-10,591.10","-13,323.50","129,106.00","75,583.80","53,520.80","163,624.40","55,441.20","108,183.20","-5,481.40","-8,716.90","3,234.10","-28,612.20","-4,897.70","-23,715.90","2,749.60",...,...,"31,468.20",53.9,"31,414.30","36,155.20",0,"36,155.20","2,732.40","-1,235.60","1,498.20","1,498.20",0,...
2012,-414.9,"300,843.00","313,263.70","-12,420.60","106,445.70","99,257.80","-5,232.70","80,038.00","68,562.90","6,242.30","12,543.40","19,200.60","3,622.90","4,730.50","1,108.90","3,208.00","4,176.20","41,494.60","33,586.50","7,906.80","11,810.30","-11,185.00","22,996.60","-41,491.10","13,668.10","-55,159.20","21,678.30","3,686.40","17,990.60","-2,710.10",...,...,"-44,845.10","1,495.10","-46,340.20","-85,221.70",0,"-85,221.70",-968.2,"1,636.60",668.3,668.3,0,...
2013,"5,079.00","312,714.40","321,539.70","-8,825.30","113,793.20","105,240.80",-272.9,"80,623.00","67,676.80","12,673.30","12,484.40","20,078.80",-123.1,"1,072.30","1,194.00","4,955.90","12,679.90","-12,369.10","26,583.20","-38,951.00","-29,640.90","-39,858.10","10,218.50",-875.8,"24,598.50","-25,475.60","38,971.50","7,675.20","31,296.30","-2,732.50",...,...,"19,330.40","2,078.60","17,251.90","-18,658.80",0,"-18,658.80","-7,724.00","7,250.80",-471.8,-471.8,0,...
2014,"4,044.20","310,964.30","317,988.60","-7,023.10","125,406.80","117,586.80",795.7,"82,800.80","71,651.90","11,944.50","12,182.10","20,082.50",-826.4,940,"1,765.00","3,217.80","2,070.00",-418.2,"27,543.50","-27,957.80","-15,205.90","6,709.20","-21,915.10","30,808.10","26,958.70","3,849.40","50,049.60","8,256.20","41,794.80","4,233.00",...,...,-262.8,804.2,"-1,067.00","-2,553.80",0,"-2,553.80","1,147.80","-2,501.50","-1,356.50","-1,356.50",0,...
