Year,Current account (excludes reserves and related items),"Goods, credit (exports)","Goods, debit (imports)",Balance on goods,"Services, credit (exports)","Services, debit (imports)",Balance on goods and services,"Primary income, credit","Primary income, debit","Balance on goods, services, and primary income","Secondary income, credit","Secondary income, debit",Capital account (excludes reserves and related items),"Capital account, credit","Capital account, debit",Balance on current and capital account,Financial account (excludes reserves and related items),"Direct investment, assets",Equity and investment fund shares,Debt instruments,"Direct investment, liabilities",Equity and investment fund shares,Debt instruments,"Portfolio investment, assets",Equity and investment fund shares,Debt instruments,"Portfolio investment, liabilities",Equity and investment fund shares,Debt instruments,Financial derivatives (other than reserves) and employee stock options,"Fin. derivatives and employee stock options, assets","Fin. derivatives and employee stock options, liabilities","Other investment, assets",Other equity,Debt instruments,"Other investment, liabilities",Other equity,Debt instruments,"Balance on current, capital, and financial account",Net errors and omissions,Reserves and related items,Reserve assets,Net credit and loans from the IMF (excluding reserve position),Exceptional financing
2005,-142.7,"439,682.80","458,877.30","-19,194.50","153,205.00","134,293.80",-283.2,"175,190.00","135,804.80","39,102.00","11,162.30","50,407.00","1,160.90","2,619.00","1,458.10","1,018.20","-2,091.30","118,797.40","61,424.00","57,373.50","85,137.10","40,579.10","44,558.00","243,466.00","53,881.20","189,584.90","225,131.00","64,143.80","160,987.20","-6,478.90","24,853.60","31,332.50","265,698.40",36.4,"265,662.00","313,306.20",...,"313,306.20","3,109.50","-12,135.90","-9,026.50","-9,026.50",0,...
2006,514.3,"485,050.10","512,355.40","-27,305.30","165,492.60","146,340.20","-8,152.90","220,040.40","171,983.30","39,904.30","12,743.20","52,133.20","1,186.00","2,900.10","1,714.10","1,700.30","-40,785.80","130,439.60","106,029.90","24,409.70","78,957.10","39,252.20","39,704.80","325,463.20","72,182.90","253,280.30","191,226.60","94,019.20","97,207.40","-4,244.90","18,245.90","22,490.70","145,839.80",3.9,"145,835.90","368,099.90",...,"368,099.90","42,486.10","-30,699.00","11,787.10","11,787.10",0,...
2007,"-8,718.50","544,317.10","590,215.20","-45,898.20","196,787.50","169,398.20","-18,508.90","276,090.40","221,382.70","36,198.80","14,933.00","59,850.30","3,392.50","3,828.00",435.5,"-5,326.00","2,990.30","132,227.00","114,097.20","18,129.80","83,777.60","45,583.80","38,193.70","281,807.30","40,114.20","241,693.10","113,354.00","-10,376.90","123,730.90","-6,756.90","-26,816.50","-20,059.60","275,005.90",1.9,"275,003.90","482,161.30",...,"482,161.30","-8,316.30","7,989.80",-326.5,-326.5,0,...
2008,"-28,163.00","603,018.00","674,378.70","-71,360.70","224,346.40","194,898.30","-41,912.60","284,950.90","221,125.20","21,913.20","15,867.50","65,943.70","2,348.40","2,934.30",585.9,"-25,814.70","-32,702.00","135,999.20","102,264.80","33,734.50","67,997.40","23,573.90","44,423.60","157,759.70","56,944.30","100,815.50","184,862.70","-18,174.50","203,037.20","35,030.70","-6,466.60","-41,497.30","-57,587.60",...,"-57,587.60","51,043.90",...,"51,043.90","6,887.40","-18,903.00","-12,015.60","-12,015.60",0,...
2009,"-22,099.60","471,024.90","521,721.90","-50,697.00","194,161.10","176,297.30","-32,833.20","212,526.90","151,295.40","28,398.30","15,739.10","66,237.00","3,188.60","3,785.50",596.9,"-18,911.00","-61,756.20","88,718.40","69,406.00","19,312.50","18,422.90","17,056.10","1,366.80","106,906.30","43,678.50","63,227.80","434,264.40","67,030.70","367,233.60","-16,191.00","-49,768.40","-33,577.40","-10,781.30",-15.5,"-10,765.70","-222,278.70",...,"-222,278.70","42,845.20","-33,504.40","9,340.80","9,340.80",0,...
2010,"-22,031.10","507,694.90","571,216.40","-63,521.50","201,658.30","181,651.90","-43,515.10","222,011.50","150,699.20","27,797.30","15,291.30","65,119.60","1,636.10","2,560.40",924.3,"-20,394.90","-7,006.50","72,560.50","64,049.80","8,510.70","38,889.40","23,499.20","15,390.30","-37,832.90","18,224.20","-56,057.10","115,786.10","-5,013.60","120,799.70","-3,535.90","-19,150.50","-15,614.60","259,903.30",321.9,"259,581.40","143,426.00",...,"143,426.00","-13,388.40","21,169.30","7,780.90","7,780.90",0,...
2011,"-29,508.60","586,877.10","677,235.30","-90,358.20","236,833.90","203,139.00","-56,663.30","237,934.80","158,745.20","22,526.30","17,101.70","69,136.70","1,625.60","3,116.20","1,490.50","-27,883.00","-65,168.90","64,483.40","51,726.60","12,756.80","44,205.80","29,792.40","14,413.40","-229,964.20","-53,661.50","-176,302.60","105,147.10","8,350.90","96,796.20","-19,561.60","61,588.90","81,150.40","94,449.00",860.5,"93,588.50","-174,777.40",454.7,"-175,232.00","37,285.90","-45,676.20","-8,390.30","-8,390.30",0,...
2012,"-32,876.40","560,945.20","630,559.30","-69,611.50","234,313.90","202,520.40","-37,820.60","213,624.10","153,360.50","22,443.00","14,670.90","69,990.30",707.9,"1,973.70","1,264.60","-32,168.50","-53,259.30","52,014.80","65,528.70","-13,511.30","32,944.70","21,731.30","11,213.30","-23,714.80","52,633.10","-76,346.60","28,898.20","37,063.00","-8,166.10","-18,448.60","-139,123.60","-120,674.90","-59,922.50","8,916.40","-68,839.00","-58,649.60",-77.1,"-58,572.60","21,090.80","-15,601.50","5,489.20","5,489.20",0,...
2013,"-16,839.70","583,427.20","644,764.10","-61,337.10","268,324.10","230,341.60","-23,354.40","213,590.00","147,426.70","42,809.00","29,186.20","88,834.90","2,396.70","3,294.00",897.1,"-14,443.00","5,320.50","32,376.70","16,186.10","16,190.70","33,461.60","35,415.30","-1,953.90","84,486.00","63,494.40","20,991.80","157,625.70","55,910.00","101,715.90","-22,355.70","-287,300.60","-264,944.90","-49,123.10","11,588.10","-60,711.20","-151,023.90",0,"-151,023.90","-19,763.60","17,748.20","-2,015.60","-2,015.60",0,...
2014,"-27,545.80","585,543.70","641,702.40","-56,158.70","284,721.00","256,763.00","-28,200.70","215,415.30","149,340.60","37,874.00","32,825.20","98,245.10","1,549.50","2,675.40","1,125.80","-25,996.30","-10,045.30","61,614.00","38,421.80","23,192.30","5,063.60","19,076.80","-14,013.20","90,720.60","11,551.30","79,169.20","137,079.30","23,096.80","113,982.40","-31,436.90","16,088.00","47,525.10","141,179.10","3,778.60","137,400.50","129,979.10",0,"129,979.10","-15,951.00","17,061.70","1,110.40","1,110.40",0,...
