Year,Current account (excludes reserves and related items),"Goods, credit (exports)","Goods, debit (imports)",Balance on goods,"Services, credit (exports)","Services, debit (imports)",Balance on goods and services,"Primary income, credit","Primary income, debit","Balance on goods, services, and primary income","Secondary income, credit","Secondary income, debit",Capital account (excludes reserves and related items),"Capital account, credit","Capital account, debit",Balance on current and capital account,Financial account (excludes reserves and related items),"Direct investment, assets",Equity and investment fund shares,Debt instruments,"Direct investment, liabilities",Equity and investment fund shares,Debt instruments,"Portfolio investment, assets",Equity and investment fund shares,Debt instruments,"Portfolio investment, liabilities",Equity and investment fund shares,Debt instruments,Financial derivatives (other than reserves) and employee stock options,"Fin. derivatives and employee stock options, assets","Fin. derivatives and employee stock options, liabilities","Other investment, assets",Other equity,Debt instruments,"Other investment, liabilities",Other equity,Debt instruments,"Balance on current, capital, and financial account",Net errors and omissions,Reserves and related items,Reserve assets,Net credit and loans from the IMF (excluding reserve position),Exceptional financing
2005,"134,346.00","878,773.30","688,153.20","190,620.10","162,694.90","209,317.40","143,997.60","207,867.80","184,814.30","167,051.10","60,566.60","93,271.80","-3,523.50","5,723.00","9,246.50","130,822.50","102,761.10","88,925.30","59,616.00","29,309.40","59,835.20","40,017.00","19,818.10","257,132.90","78,413.00","178,718.70","221,520.90","22,064.80","199,456.00","10,310.70","10,310.70",...,"162,653.40","2,296.40","160,357.00","134,903.90",232.9,"134,671.10","28,061.40","-30,664.30","-2,601.70","-2,601.70",0,...
2006,"177,800.20","1,007,037.90","809,141.90","197,897.20","184,885.60","224,501.40","158,280.20","262,747.10","211,845.60","209,181.70","59,812.40","91,193.90","-1,827.50","6,021.20","7,846.20","175,972.60","182,657.80","147,975.30","125,132.10","22,843.20","87,444.20","37,428.80","50,015.30","203,438.70","28,594.10","174,843.40","181,010.10","35,648.30","145,361.80","5,460.00","5,460.00",...,"254,728.80","2,980.90","251,747.90","160,492.00",425.2,"160,066.80","-6,685.10","3,027.60","-3,653.90","-3,653.90",0,...
2007,"233,636.00","1,205,968.50","939,040.20","266,927.00","214,873.20","258,551.50","223,250.00","337,798.90","287,488.30","273,560.60","65,140.10","105,064.70","-2,116.80","7,548.60","9,665.40","231,519.20","227,368.70","140,653.50","109,110.20","31,543.40","50,847.20","63,719.90","-12,871.30","198,957.60","27,931.80","171,027.20","414,249.20","76,962.80","337,287.70","116,318.40","116,318.40",...,"462,774.70","8,675.50","454,099.20","226,237.90",967.5,"225,270.40","4,150.50","-2,913.50","1,234.20","1,234.20",0,...
2008,"212,413.30","1,322,161.90","1,056,774.00","265,387.80","244,689.70","287,653.40","222,424.20","292,291.00","258,039.70","256,675.50","73,622.00","117,884.20","-2,624.90","7,184.50","9,808.10","209,788.40","155,375.10","98,024.70","48,713.50","49,312.70","30,954.70","5,585.70","25,370.30","-14,595.00","-39,839.20","25,245.70","30,031.50","-68,625.80","98,657.30","44,002.50","44,002.50",...,"220,287.80","5,928.30","214,359.50","131,359.90","1,472.60","129,887.40","54,413.40","-51,678.00","2,733.80","2,733.80",0,...
2009,"204,411.70","1,011,312.90","819,500.90","191,809.00","226,918.20","250,641.50","168,088.60","257,756.50","178,844.20","247,000.90","64,826.90","107,416.20","-2,513.70","16,946.20","19,459.90","201,897.90","147,167.50","99,737.80","88,690.00","11,047.80","56,701.90","-1,789.30","58,489.90","110,306.40","11,260.70","99,044.20","-8,977.40","20,837.40","-29,813.30","-7,551.40","-7,551.40",...,"-145,497.30","3,013.90","-148,511.30","-137,899.20",569.4,"-138,468.60","54,730.40","-42,377.50","12,350.20","12,350.20",0,...
2010,"200,143.60","1,138,008.70","926,734.00","211,274.70","235,453.10","268,387.20","178,340.60","267,496.10","197,229.60","248,607.00","63,052.40","111,515.90",64.4,"12,600.30","12,537.30","200,208.00","95,290.30","146,643.00","102,045.20","44,597.70","86,037.50","29,908.20","56,129.30","230,171.60","30,037.50","200,131.50","76,085.40","4,762.50","71,326.90","17,568.10","17,568.10",...,"156,872.60","4,049.50","152,823.00","293,838.00",-281.1,"294,119.10","104,917.70","-102,787.40","2,134.30","2,134.30",0,...
2011,"239,389.60","1,335,934.30","1,107,458.30","228,474.60","261,380.10","303,746.40","186,109.70","307,427.30","210,418.10","283,118.90","77,232.40","120,961.80","-1,473.30","12,135.70","13,610.40","237,916.30","136,437.20","107,908.60","87,411.40","20,497.20","97,535.40","28,210.10","69,322.50","25,563.40","-1,815.00","27,377.00","77,032.60","-5,501.30","82,533.90","39,794.10","39,794.10",...,"194,699.80","5,340.90","189,358.90","56,961.90",361.7,"56,600.30","101,479.00","-97,559.90","3,917.70","3,917.70",0,...
2012,"258,786.60","1,277,443.70","1,019,424.00","258,019.70","262,329.40","302,395.50","217,953.60","263,880.30","177,286.80","304,547.20","73,637.10","119,397.60","-2,862.40","12,906.90","15,768.10","255,924.20","166,575.00","99,082.30","79,524.50","19,556.50","65,443.10","19,807.00","45,636.10","136,120.80","41,588.30","94,532.50","69,288.90","-2,528.20","71,818.40","30,906.80","30,906.80",...,"217,571.20","17,239.50","200,331.70","182,373.90",253.7,"182,120.30","89,349.20","-87,648.10","1,699.70","1,699.70",0,...
2013,"256,180.10","1,307,952.40","1,042,425.20","265,527.20","283,635.90","328,962.60","220,200.40","255,134.30","165,859.30","309,475.40","85,750.70","139,046.00","-4,011.80","14,827.60","18,839.40","252,168.30","266,232.40","93,293.30","58,552.90","34,740.40","67,199.70","-1,121.00","68,322.00","181,567.10","68,029.20","113,537.90","-27,973.20","15,293.80","-43,267.10","31,804.20","31,804.20",...,"-226,928.60","13,526.10","-240,454.70","-225,722.90",593.6,"-226,316.50","-14,064.10","15,221.20","1,155.70","1,155.70",0,...
2014,"285,239.80","1,347,670.30","1,057,642.30","290,028.00","310,092.10","340,735.90","259,384.20","251,229.60","170,334.10","340,279.70","82,429.90","137,469.80",560.2,"16,515.10","15,954.90","285,800.00","310,839.70","105,488.30","68,410.60","37,077.70","17,356.70","25,868.60","-8,510.50","190,770.50","68,989.40","121,781.10","23,765.80","2,689.00","21,079.50","50,812.50","50,812.50",...,"60,749.30","7,848.00","52,901.20","55,858.30",-10,"55,868.40","-25,039.70","21,741.70","-3,296.70","-3,296.70",0,...
2015,"277,318.30","1,176,501.50","904,611.70","271,892.10","286,648.30","304,673.60","253,864.60","212,232.60","145,638.80","320,458.40","78,940.90","122,081.00","-1,958.80","18,883.30","20,843.20","275,359.50","253,911.50","119,261.20","72,762.70","46,497.40","62,419.00","19,002.10","43,418.10","141,671.50","84,554.40","57,118.20","-71,341.30","20,854.90","-92,195.10","33,809.90","33,809.90",...,"10,545.30","2,042.70","8,502.60","60,298.70",-120.1,"60,418.80","21,447.90","-23,873.20","-2,421.90","-2,421.90",0,...
2016,"314,858.70","1,177,325.50","899,827.50","277,495.80","299,174.40","319,620.20","257,052.20","240,170.00","140,220.30","357,001.90","71,726.50","113,869.60","-1,487.30","23,563.80","25,051.10","313,371.40","295,909.70","116,554.60","98,631.00","17,922.60","58,132.70","8,556.20","49,576.50","108,077.00","61,346.90","46,730.10","-110,015.10","-8,195.20","-101,817.70","31,611.50","31,611.50",...,"198,447.30","3,595.00","194,852.30","210,664.20",-267.3,"210,931.40","17,461.70","-15,563.70","1,896.80","1,896.80",0,...
2017,"304,190.30","1,269,970.80","979,680.90","290,291.10","328,351.30","352,651.90","265,989.30","239,697.30","143,969.60","361,717.10","74,664.70","132,191.50","-7,418.70","20,474.40","27,893.00","296,771.60","311,906.80","148,988.40","89,566.80","59,420.50","108,786.50","32,896.40","75,891.20","122,919.70","77,928.40","44,990.10","-100,146.00","-4,039.40","-96,107.70","12,666.00","12,666.00",...,"146,302.90","5,731.20","140,571.60","110,327.40",-108.2,"110,435.60","-15,135.20","13,651.20","-1,482.70","-1,482.70",0,...
2018,"342,184.00","1,368,953.60","1,109,636.30","259,314.90","363,877.00","380,316.70","242,877.60","301,719.70","143,822.10","400,775.10","81,551.90","140,143.10","-4,139.70","43,966.70","48,106.30","338,044.30","309,161.40","212,928.00","213,352.80",-423.6,"162,250.90","56,132.90","106,119.20","101,124.70","26,573.70","74,551.00","-75,379.10","-43,162.90","-32,215.00","26,782.40","26,782.40",...,"166,229.40","11,623.60","154,605.80","111,028.90",254.1,"110,774.80","28,882.90","-28,424.20",455.2,455.2,0,...
2019,"311,826.90","1,314,451.40","1,075,675.10","238,777.50","366,214.00","382,277.70","222,712.60","281,339.10","135,793.70","368,258.00","89,133.20","145,564.30","-5,502.60","45,903.10","51,404.60","306,324.30","225,296.80","171,344.00","143,206.60","28,137.40","75,463.40","26,726.20","48,737.30","158,865.90","78,892.40","79,972.40","76,915.70","-13,244.50","90,159.10","23,159.70","23,159.70",...,"-45,401.60","16,805.70","-62,207.30","-69,705.60",171.1,"-69,876.70","81,027.50","-81,625.10",-594.2,-594.2,0,...
2020,"250,193.10","1,213,282.40","1,009,462.90","203,819.60","333,723.60","326,107.20","211,436.00","215,711.20","115,671.00","311,476.20","92,551.80","153,834.90","-12,106.50","52,935.20","65,041.70","238,086.60","197,232.00","144,871.30","89,257.90","55,613.20","176,781.00","63,151.10","113,632.30","198,189.50","110,481.00","87,706.30","170,132.80","-17,659.20","187,792.10","104,858.20","104,858.20",...,"372,066.00","24,722.80","347,343.30","275,840.30",871.9,"274,968.40","40,854.60","-40,922.70",-66.9,-66.9,0,...
